Stemming,label
woooooy sahrul gunawan tayang adzan,neutral
tunggu kakak calon presiden bicara gagas,neutral
ganjar main jawab harap dukung pakde boongin pakde anak,neutral
anies gagas cerdas struktur besok pilih lupa nggalah laporpak bilang lupa dijanjiin,neutral
beda jakarta buka terus program ahok rusak jalan mulus dilobangi awat,negative
malu prabowo sambut anak sdbremang cocok prabowo sifat anak sd,positive
paslon prabowo suruh patuh kakak nana layak pimpin atur partai usung juang rakyat,neutral
demokrasi riang gembira nikmat demokrasi baik,positive
mantap jelas prabowo realistis lapang,positive
ngilu dengar najwa bilang adek adek,negative
tolong ayo pilih calon presiden sesuai kerja bicara manis langsung percaya mohon mohon mohon warga cerdas gampang makan omong manis butuh bukti janji,negative
anies tong kosongomongan manis aspartame,negative
universitas gajah mada berani buka dokumen dekan fakultas hutan sd sungguh ijazah jokowi,neutral
indonesia merdekabrtetapi laku elite politik intervensi kpkbrini elite politik jujur,neutral
elite politik aman kuasa brmaka kpk kerdil daya pegawai sedot dana fungsi kerdil cawe kuasa cenderung intervensi,neutral
salah orba tni jabat jabat lembaga jabat guburnurbupati walikotabrsekarang inilembaga polisi amanah jabat luar institusi kepolisianbrapakah uu langgar mari cek uu laku,neutral
tolong anies pilih bebas izin buat sim gratis orang sim orang lulus tes mahir berkenderaan laku umur hidup kecuali salah berat lintas sim cabut,neutral
elite politik kuasa watak feodalbrsuapaya rakyat paham jelas aniesbrya allah menang anies kuasa,positive
watak elite kuasa watak pancasila watak arah kiri paham kiribrinfomasi anies dijadikanbrpembuatan uu usaha apa bantu caprescawapres buat uu benarbrnetral piha rezim kuasa ber cawe enak jidat negara satu republik indonesia milik,negative
rawan rawat gubernur jawa tengah turun masyarakat miskin detaksi keluh lapor masuk gubernur jawa tengah ide big boz tuju ide,neutral
ganjar rawan rawan gubernur jatengsaya tau sepak terjang ganjar pranowo peduli nyinyir orang,neutral
calon hokage brkonohamaru ganjarbrsasuke prabowobrshikamaru aniesbrbrkonohamaru percaya naruto brsasuke bertuga aman bawah pimpin naruto brshikamaru ahli teori strategi lemah banyak,positive
adu gagas anies hebat bukti,positive
ah ganjar omong kosong ajajd gubernur umr kecil,negative
mohon maaf pilih pip aneh,negative
ngetes uji kemam tka ganjar perintah indonesia congkak sombong milik ganjar,neutral
anies kerenbrpak ganjar bagusbrpak prabowo tulus,positive
solusi korupsi naik gaji jabat korupsi orang orang miskin bagus miskin malu,negative
lemah ganjar kadang suka ceplos,neutral
sandwich generation brjawaban anies bikin sedih sedih brternyata rubah pikir brsemuanya berat jalan sepenuh hati ikhlas takdir brsemoga pribadi kemudi amin,positive
asli berkacakaca dengar refleksi anies,neutral
anies pulang oke bukti narasi struktur tinggal kerja bukti seman,neutral
dengar pidato prabowo soekarno benarbenar bakar semangat mentalitas,positive
jadi anies ahok pilihno ganjar mahfud netrat maju indonesia emas,neutral
kakak nana depa calon presiden cawapresnya diskusi pesantren bareng ulama santri,neutral
inopasi jkarta terus pkerjaan rudi,neutral
tahu mateng hasil karbitan mateng pohon,neutral
ganjar ngenyek tenaga kerja indonesia lapang tka cina unskil,neutral
anies rumah uang muka benarbenar wujud rumah uang muka benarbenar gagas wacana salah presiden,negative
universitas gajah mada dukung ganjar pranowo naik elektabilitas universitas gajah mada kampus presiden,neutral
prabowo omong menang benarbenar menang rindu sosok pimpin,positive
negeri butuh orang pintar omong doang rakyat tipu jabat pintar omong butuh pimpin tulus rakyat jujur langka orang jujur korupsi,negative
omong jakarta parah pimpin hancur,negative
kelak indonesia moga indonesia seruduk partai demokrasi indonesia,neutral
lihat mata najwa muncul anies muntah,neutral
anies pintar omong prabowo gibran pintar ayom masyarakat,negative
omong doang pintar nyata aniss,negative
prabowo kaku pakai meja pidato,neutral
politik uang berantas penuh penjara calon anggota dewan,neutral
prabowo pilih legislatif pilih kepala desa pakai uang,neutral
anies pintar omong lemah eksekusibrprabowo semangat temperamenbrganjar ide rajin turun rakyat,negative
tiga capresbrcuman anies cerdas hebatbrbuktinya terbuktibrmeskipun buser televisi nasional mengudarabranies bukti potong pandemibrbanyak laku aniesbrganjar media sosial marah sok merakyatbrprabowo apabrdia pengusahabryang nama usaha mana cari profit,positive
ganjar provokator realistis nilai anies,neutral
simpati anies survey bukti anies pandai rangkai anies pecat menteri didik gubernur lebih bayar percaya pasti negeri selesai rangkai,neutral
komentator anies username ekor angka tau,neutral
anies baswedan presiden indonesia amin,neutral
amin dukung uud ite dirubahbrklo rubah jlan tempat demogrisi bryng demo grasi,neutral
anies baswedan presiden indonesia amin,neutral
gibran anak muda kasih contoh buruk,negative
omong orang tua wujud dunia pimpin negara indonesia kaya alam indonesia kelola negara negara gantung indonesia indonesia sadar jiwa pimpin niat kelola kaya indonesia dalam prabowo beliau berani ambil putus,positive
indonesia induk umat manusiabrmerah putih merah berani putih suci berani sucibrani bersih beda calon presiden nego ketua umum partai,negative
ganjar sudut serang fair anies prabowo ruang gagas sesuai ganjar adzan anies tidak tanya politik identitas prabowo nazwa sihab berat belah,neutral
ganjar anies gagas sampai solusi bingung pilih,negative
praktek sila pancasila negara satu republik indonesia prabowo subianto coba uji sila,neutral
menit insya allah selesai kakak nana filsafat mantik abdi negara satu republik indonesia merdeka sila,neutral
menit prabowo subianto cinta negara satu republik indonesia,neutral
assalamualaikum kakak nana iqbal zul aqli aceh barat debat calon presiden,neutral
dungu komentar bayar komentar hina parah oi dungubrbrakal sehat tambah tua tambah bodoh,negative
kakak wawancara special pasang prabowo giber brkan pasang branis imin sudahbrganjar mafud sudahbrkamu dengar kakak bantu banding calon baik mohon perhati,neutral
inti bukti bakti ucapannyasdkit bicara bekerjabr jokowibrinti pimpin itubrkrna kurang wajar bina negara mudah bolak balik tangan,negative
esemka dolar bawah puluh ribu hutang negeri negara denda akibat lalai bayar sewa satelit koruptor bansos rang vonis koruptor derita dibully publik,neutral
jujur haru segmen refleksi prabowo tulus cinta negara banding calon presiden kayak beliau kuat politik setir partai,positive
sesuai anies kasih nilai brpak prabowo kasih nilai brpak ganjar kasih nilai,neutral
presiden harap maju didik indonesia jokowi gelontor triliun kuliah anakanak miskin,neutral
moga anak kelak masuk universitas gajah mada prestasi bakal calon presiden,neutral
cita cita lihat prabowo presiden,neutral
calon presiden calon presiden berani ambil sikap wilayah laut indonesia laut natuna terobos china,neutral
sesi serasa dengar khutbah sholat jumat,neutral
prabowo subianto bukti nyata kata jawa tengah prabowo subianto presiden,neutral
sayang merinding lihat perabowo bibawa,positive
ganjar probowo milik ide gagas realitas banding calon satu putus tang,neutral
lawan nyata dinasti presiden jokowi anies baswedanbrkarena menganalisa prabowo ganjar pranowo presiden jokowi andil dalam kecuali anies baswedan,neutral
anies bagus selesai permalasahan diajukanbrkalau ganjar cerita kosong titik tau pilih,positive
capresnya moga amanah adil orang mbak najwa sihab butuh negara berani kritik jabat perintah,positive
suka main case religionbrhati hati,positive
insya allah prabowo menang orang pulang tulus negara satu republik indonesia,positive
anies top mantap salam ubah,positive
nilai cocok arb cocok presiden,positive
pilih presiden nasionalis mentingin penting indonesia urus perang negara,neutral
nilai sentimenbrbicara katabritu banjir macet jakarta mudah atas presiden hutang negeri esemkabrbrapa masuk omong kosong,negative
apresiasi program makan siang gratis anak sekolah aman kualitas bonus demografi indonesia emas catat menu makan sungguh kualitas melubatkan ahli gizi,positive
dengar anies omong mualingat janji dkiprogram oke ocediberimodaldilatihdicarikan pasarnydi cari pembelinynytanya,negative
bicara janji janji banjir macet jakarta mudah atas presiden esemka hutang negeribrbrkemudian bahas janji uang muka persen guna komentarlu,neutral
anies contoh contoh contoh entar contoh lagipas mejabat kerjain contoh,neutral
mudah betul gagas persen boongan,negative
ide bikin kotak suara iya,neutral
bismillah mantap pilih ganjar indonesia beliau masuk akal sentuh hati orang,positive
lihat brsiapa duduk kursi indonesia brbrga sabar ainkk lihat debat,neutral
tenang ganjar balik partai demokrasi indonesia percaya refleksi dukung,neutral
mudah omong kamera omong tahu gampang bohong publik upss,negative
bagus prabowo ganti jokowi pilih jokowi presidenbr ekspetasitp cita ngegampangin ucap realistis,positive
calon presiden sudahbrkapan wakil presidennyabrbiar lihatmana pintar calon presiden,neutral
komentar pilih anies smwbrsemoga doa kabul tuhan beliau presiden,neutral
akun palsu angka belakang nama,negative
sesuai ganjar remeh jurnalis pandu acara menit,neutral
halah pidatodebat omong kosong rakyat hilang optimisme nasib hidup tanah pertiwi,negative
dengar gagas bakal calon presiden terima kasih mata najwa acara terima kasih universitas gajah mada sarana sampai gagas bakal calon presiden,neutral
berat ringan asa jalan sepenuh hati ringan cari peluang sempat ulet,positive
calon presiden suruh refleksi prabowo subianto ngeyel situ paham beliau type orang atur harga bangsa rendah,negative
nilai cerdas pandai bicara aura tiga bakal calon presiden cinta rakyat tulus bantu ikhlas sabar angkuh dendam keras makmur maju bangsa prabowo,positive
moga pimpin indonesia jujur tidur,neutral
anies maksud indonesia jelasin yad negara presiden cerita anime jepang naruto tidak bebas dapat hadehbrgagal paham iya wkkk,negative
tonton sesikompplit nyatapi baterai mendenons strasi cassada kala tau bebet bobot jadi pimpin,negative
segitu jegal anies bantu anies langsung periksa pakai alat negara,neutral
prabowo speech ngertitapi keren materi berat,positive
mudahn bangsa sadar betapa hebat partai partai demokrasi indonesia kandidat,positive
video enam jam tonton juta,neutral
lapang kerja anies orang pecel lele asih lowong gaji kuliah modal kuliah kerja warung pecel lele gaji kakak anies masuk akal omong,positive
dukung prabowo tonton video dapat prabowo tulus sikap interaksi teman universitas gajah mada,neutral
patok kelamaanbrlebih cepat baikbrkalo lagibrkalo,positive
gaji guru swasta tekan dinaikin,neutral
sumpah siganjar sambung pusing iya bos,negative
bawa asa presiden bawa asa kritik bawa asa sadis,negative
niat ganti tka ganti wninawarin situ buka loker wni bsjyak gara sanggup,neutral
banyak omong bohong bicara gampang setir partai demokrasi indonesia bukti usaha masuk beli,negative
presiden usung partai presiden prabowo partai atur,neutral
musik sesuai calon presiden jalan stage kek tanding smackdown,neutral
hebat teori brkami butuh bukti aktual eksekusi fakta bos,positive
tonton fokus publik bicara presentasi skripsi nervousnya ampun diinterview kakak nana woyyyy,negative
yang hormat kakak najwasuara kaltimmohon bahas program ikn diwujudkanproject development nyala track,neutral
putra baik kalimantan timur ptomosikan pimpin nasionalsaya bobot walikota solo,positive
indonesia butuh orang pintar indonesia butuh pimpin jujur berani sekian trimakasih,neutral
butuh orang pintar yakali pimpin orang bodoh,negative
tiga calon presiden oke anies baswedan insya allah sholeh beril amanahsecara fisik presiden,neutral
insya allah anies presiden keluarga mabuk jabat harto anak usaha,neutral
dukung prabowo lihat wakil gibran arah golput satu calon presiden cocok,neutral
golput kakak coblos smuanya takut golput suara ambil orang tanggung,negative
kalo prabowo masuk presiden indonesia aman perang,negative
presiden moga janji manis moga bukti nyata moga indonesia junjung bhineka tunggal ika,positive
maaf anies coba omong kota kota diam desa dikotadan bahasa coba pakai bahasa mudah paham orang awam,negative
aduh anies janji gubernur jakarta janji uang muka persen tambah bagus dkimalah acakbikin resap jebak bedmendan,negative
bacot uang muka problem uang muka wujud uang muka program jokowi rumah subsidi beda uang muka subsidi uang muka,neutral
prabowo menang seduh seduh pindah anies belummasuk calon presiden pilih saudara saudara pilih anies kecuali papa pilih prabowo dok prabowo presiden,neutral
presiden berhrpbrantas premanismekoruptorbegalklitih dijalansupaya negeri aman,negative
mudah milu acara biar tau presiden wakil presiden pilih pilih anies baswedan muhaimin iskandar,neutral
anies anies prabowo orang presiden dedikasi sepenuh kembang bangsa indonesia,positive
tertawa dijakarta anak sekolah kasih makan gratis aniesanak kuliah keluarga tengah beasiswa juta pertahunlansia kasih gaji ribu perbulanbanyak,neutral
mental health didik kualitas masyarakat indonesia bahas aniesbrbrbedanya mental health cabang didik upokoknya,neutral
tonton jutaa orang tentu menang youtobe handphone televisi radio dsb butuh indonesia bijak nyata brtak gimic teori gagas implementasi,neutral
lupa teman teman manis debat mudah erti mudah implementasi pilih sesuai nurani,positive
pilih luput korps kakak najwa,neutral
dengar refleksi tiga bakal calon presiden benarbenar tulus bangun indonesia maju amat lihat kurang dimasyarakatdan landas batas materi batas janji moga pilih pimpin bangun indonesia maju,positive
prabowo pimpin ideal indonesia dek jokowi,positive
antusias kagum sosok prabowo tda putus asah juang hak rakyat ekonomi moga sosok prabowo berani juang rakyat indonesia bicara hati nurani rasa indonesia amin,positive
kriteria pimpin hablum mal terjagabr hablum minannaas aman baikbr beradabbr leadership terujibr negarawan diplomatis plonga plongobr sehat usia produktifbr amanah fathonah siddiq,positive
pilih anies surya paloh pilih ganjarmegawati cari memng modal calon presiden,neutral
aniesbahas mudah biaya perban informal mikro mudah cipta lapang pekerjaanniatnya bagus uang muka rumahnyatanya warga jakarta sana susahgw hawatir indonesian gagal negara maju modal janji politik,negative
dukung ganjarrichard gere indonesiamana suaranyaaaa,positive
lapang kerja mata anies grup orange pecatin gombal omong doang,negative
anies presiden brpemimpin pintar prestasi bijak menjawabbrjangan sempat sia sia jadi orang pintar akhlak karisma pimpin bangsa,positive
ganjar partai priksa partai demokrasi indonesia takut marah,neutral
boneka baik rakyat indifidu keluarga sah,positive
terbang bebas luas luas kibar sayap kebhinekaan lebar lebar lupa pangku pertiwi,positive
turis swadaya hormat turun khrish napoleon unjung jemur pantai panas bikin kulit warna sawo matang kematengan,positive
buah manis salah sawo matang,positive
infrastruktur manfaat rasa baik suatu pingit rantau,positive
gedor lawang penuh kejut coba senang,negative
berontak intai salah hukum yahbrkasihan dosa korban,negative
polisi bersabdaaset dunia lindung kueht apikbrgudu digoleti bae kesalahane,neutral
lupa mancing biar ikan nyabukan asap ngat fatsal senang,positive
wangi kembang eka surga kue putu cendana hidup alambrmangan kantil biar ngeremed ramedhon,positive
maju kembang bunga harum semerbak bukti tasbih allah azza wajallabrkalo harum,positive
uang habis jalan comot tuyul ndas ireng ndean,negative
guru kuliah ijasahnya suruh buang suruh aji waliyulqutub ngajingaca jiwa,negative
sumber daya manusia kembang kwalitas sumber daya manusia arti maksud,neutral
mahasiswa mahasiswa keliru kikilbrjangan lupa suguhin kopi enak tonton,negative
kasih tau rubah lirik nyabiar sang hadramaut ngedeus kelapa muatbrmacam biar macan tau satwa margasatwa,neutral
lagu bangsa indonesia raya sakraljika ubah ubah lirik ejek injek negeri susup dan,neutral
lirik ubah sihjangan macamstartastarta apankembalikan lirik asli,negative
wkwkk zaman jakarta banjir kakak zaman anies banjir kurang drastis,negative
zaman anies banjir jakarta antri,neutral
butuh bukti janji omong kosong lihat kerja bicara gampang bua hancur,negative
gagas manfaatnyabrtetap kalah prabowo mgibran cukupbrbrmgibran segalanyabralgojo paman brmentor ulung bppresidenbrsemua bukti kado indah sang keponakan,positive
pilih prabowo wajib prabowoall prabowo,neutral
tunggu tanggal main save prabowo gibran,neutral
presiden inti bijaksana masyarakat tindas korupsi rajalela negeri brbrbrsemangatt,positive
gilir anies enak nyontek fair,positive
almarhum gusdur pernh saksi orang tulus negara indonesia prabowo bukti tulus yabg henti juang semangat juang,positive
prabowo niat tulus negara indonesia pantang serah maju tugas negara,positive
iya sibuk kerja naik bbm pupuk sembako biaya sekolah dsb putus politik jabat wewenang tinggi,negative
iya indonesia rakyat buta inflasi tau uang dulunya nominal uang segitu serasa pecahin hilang iya tau iya hidup keluarga hebat management uang biaya keluarga tengah bawah press kakak hari,positive
golput surat suara salah pilih coblos,neutral
calon presiden kagum anies beliau santun bijak gagas masuk akal moga anis menang presiden amin,positive
teman saudara iya omong jelasbelibet emosimbulet terstrukturgesture sila memilihsaya nama,negative
acara manfaat alangkah baik dasar data gagas contoh mengunakan data apbn contoh,neutral
masyarakat luas tau visi misi resmi lengkap calon mana iya kakak,neutral
bismillah ganjar mahfud md menang putar,neutral
gaji jabat naik jamin korupsi orang korupsi orang serakah banyaksedikit gaji orang jujur amanah korupsi,negative
anies ganjar kocak tertawa prabowo salam akal sehat,neutral
pilih ahok pilih ganjarmahfud indonesia maju,negative
brujian sungguh ganjar gelintir manusia indonesia,negative
kolom komentar penuh komentar tugas partai,neutral
calon anies baswedan papar muantap,neutral
kesini gara lulus smk universitas nganggur lulus sd,negative
acara inibrnarasi basabasibrdemokrasi nasi basibrvisi misi oligarkibrpancasila tinggal seloganbryg tonton hanyalahbrkebodohan,negative
capresnya tuntas kemiskinanpengganguran ekonomi sejahtera sosial berantas mafia mafia,negative
diskusi ganjar sesak iya kakak najwa dapat iya,neutral
prabowo tulus fokus negara cinta indonesia,positive
dapat indonesia kali butuh pimpin jujur tulus berani,positive
mimpi doa moga tiga calon,neutral
buzzer sampah pakai akun sampah,negative
megawati bawa calon anggota kalah aniestohh belibet omong nyagenjer bowoluhut luhut,negative
ganjar bagus sopandan peduli rakyat dibandingkn anies nuomong hebatdki jakarta urus anies presiden atap rumah suruh cat warna warni,positive
golput milu tonton alhamdulilah segar pilih,positive
presiden anies wakil prabowo mantap langsung macan asia negara,neutral
refleksk prabowo merinding tetes air mata moga bangsa bangsa bangga maju kelak,positive
moga prabowo preside jiwa patriot nasional tertanamaamiin,neutral
presiden nntinya pengaruh konflik dipalestina insya allah anies tolong bantu sodara dipalestin moga anies presiden tahun,neutral
prabowo pandai bicara pidato insya allah beliau orang tulus ikhlas abdi negara satu republik indonesia menang moga depan indonesia maju salam negara satu republik indonesia,positive
tulus ambisi presiden rubah indoneisa maju makmur kuat,neutral
indonesia minyak bumi bagus premium minyak tanah hilang indonesia,positive
maaf lagu indonesia raya ganti teks,neutral
ganjar cerita usung jawab absurd jalan masalah sdng alami negara,neutral
pintar anies orang dosen kerja kosong,negative
bakal calon presiden orang orangorang hebat indonesia pecah pilih beda prabowo tulus berani tegas ganjar humblenya anies intelektual,positive
moga presiden indonesia sehat tulus jadi indonesia maju,positive
gagas anies mantap maasyaallah keren,positive
gagas gagas nyali eksekusi mimpi awangawang eksekutor handal dar mimpi rekam jejak pilih pimpin gagas kombinasi rekam jejak pilih umum presiden adu gagas adu gagas rekam jejak,neutral
kayaknny rekam jejak ketigany mending anies setidakny merasakn jaklingko angkot modern gratis rumah ganjar tahuny jawa umr miskin sei indonesia prabowo prestasiny beli pesawat ketinggaln singapore,positive
program makan anak indonesia berjalanbrbrada program makan sekolah anak orangtua makan rumah menu sehat sempurnabrjika depan program awas prabowo,neutral
urus retorika anies hebat implementasi mampu kolaborasi steak holder grup workingbrjadi bijaksana retorika belaka,positive
ganjar kayak salah omong sesuai omong background kakak najwa,negative
raih didik senang gagas anies investasi harga anak bangsa hebat pintar sejahtera,positive
pilih anies eh gjd wakil gitu,negative
ganjar mantap program tata sampai walaupon kenal ganjar tki malaysia harap pakganjar presiden indonesia,neutral
gagas visi misi calon presiden fakta indonesia butuh kerja keras tulus indonesia maju,positive
gila coooyy adu gagas calon presiden kangen peristiwa milu,positive
pindah nyala jokowi fan beliau angkat tangan fan beliau,neutral
anies plih anies omong kosong wkkw,negative
presentasi bagus kerja rakyat pintar alam karakter riwayat keri pilih oke,positive
anies kerjany kakak tinggal mana jakarta bantu adan program jaklingko uang muka pondok kelapa coba cari berita anies imbang hater anies,neutral
menang anies omong cermin omong,positive
coba kampung sedia lapang kerja biar rantau klklkl,neutral
ganjar kuasa materi cocok pimpin negeri,neutral
armuh bikin seuatu udsh oreapre,positive
salut anies negara butuh presiden cerdas halbrjgn qek blongo omong pres negara,negative
universitas gajah madabrpunya hutang moril rakyat indonesia brbisa ijazah asli presiden indonesia alumni hutan ugmbrjika nama universitas gajah mada runtuh malu rektor,negative
pimpin sejahtera rakyatkapan rakyat sejahtera pinjam online legal ilegalberani agas tutup pinjam online secra nyata cekik rakyatganti pinjam online koperasi ramah rakyat,neutral
partai demokrasi indonesia mah coblos prestasi pimpin partai demokrasi indonesia nomor negara judi,neutral
iya tuhan moga anies menang,positive
ganjar bicara mengacakaca duluh dirinyabaru bicarabrthn becus pimpin jawa tidurhanya dongeng,neutral
tarik gagas anies erti ber ilmu,positive
bayar tol mahalsaya malas tol mahal,negative
rekomendasi kiki saputri stand afdollll,positive
jujur menang nenek moyang jajah suruh kerja paksa anak cucu budak negara jajah tolong cukupp pimpin rubah negeri indonesia biadab jajah,negative
presiden harap alusista negeri baik dunia banya tempur,neutral
pilih prabowo ganjar lanjut jokowi lihat nyata moga anies bawa ubah indonesia presiden,neutral
indonesia merdeka jajah budak bangsa diri kalah singapura,negative
saran calon presiden indonesia merdeka diri kaki budakantekboneka negara bangsa,neutral
golput its punya choice hidup negara diri kaki negara tek kontribusi,neutral
mohon maaf ganjarkarna bebas percaya aparat desa salah penting pribadicoba lihat pegawe kerja desa milik fasilitas mewah tra rakyat cekik lapar bantu perintah sembako mahaltdk seprti zaman suharto raskin bantu,negative
tolong gendut kelompok orang tra buruh cekik serba mahal,negative
sejahtera pilih anies pilih prabowo pasu orang orba ganjar pdip pilih anies,neutral
orang militer mah gaung suara mantap lucu jugakarena tawa sesuai tonton prabowo bicara brbrdiantara tiga bakal calon presiden anies rasyid baswedan tenang kalem bijaksana sikap komentar dllmantap,positive
berani nunjukin konfrontasi well enggak anies coba narasi otobiografi ganjar cari simpati selip nasihat orangtua prabowo lari tantang lempar bola panas engaging audience,neutral
bilang jadi beban bilang beban anies,negative
terima kasih mata najwa acara nilai pribadi sesi bacapresbr anies baswedan jawab sasar wibawa ice breaking berlebihanbr ganjar pranowo self centric jawab guyon kebanyakanbr prabowo berapiapi monoton,neutral
juang prabowo gagal goolmengenai gagasa calon jujur prabowo orgnyagass indonesia,negative
tunggu hadir prabowo ganjar bem universitas indonesia,neutral
pilih satu rakyat indonesia sabang merauke anies lai lengkap,neutral
lepas janji calon presiden manis semangat kasihan prabowo kali gajadi presiden lgmudahan tepat gagas bawa indonesia maju,negative
gagas utara bakal calon presiden fisik pilih anies baswedan kuat pimpin indonesia maju bismillah anies baswedan,neutral
indonesia jaya indnesia jaya merdeka maju negarakua aboutinvalidaa aboutinvalidaa aboutinvalida,positive
profesi pandu acara jurnalis apa cibir profesi mulia profesi alangkah baik cibir profesi mncari suara sisi cibir profesi pilih siie ogah,negative
moga pilih nilai negara lemah sisi pimpin negara keras rakyat tekan,negative
utama praktik langsung lapang teori,neutral
ganjar tameng angkat prabowo sejati tarung anies prabowo,neutral
tarik aniesbrgakda munafik grasa grusu main curangbrbrbrpokoke jos tenan anies,negative
maaf iya numpang brsaya prabowo iya coba ahy geser pasti ber laki laki sejati pakyg sifat nikung tikung selamat tinggal iya,negative
cari komen keritik banyak komen pilih bla bla bla gampang omong manis mah dengar ngantuk muter muter lihat komen aboutinvalidaa aboutinvalidaa aboutinvalida,negative
kaku penyampain masaladari cerdaslinca sampai kerja tidk bua hasil iya bungbanyak orang bilang prabowo lihat kerja prabowo menteri tahan lihat hasil hemm prabowo senggol,negative
asli anies jago omong masuk akal aslibrbrdari sekian calon presiden anies gagas bagusmoderenmasuk akal future,positive
kakak nana tolong bantu usut khasus sianida,neutral
moga pdi pdi moga pilih jujur amanah integritas cerdas berani berantass korupsi,neutral
saatx perubahankapan biar utang tumpuk luar standar,neutral
mohon calon presiden publik elekt propessional,neutral
mohon muncul gambar sesuai urut publik tonton gembira,neutral
jawabaann jelass logiss kompitable anies rasyid baswedan netizenn nilaai masingg capress majuu anies moga realisasi pemimpinn negeri indonesia,positive
pribadi nonton acara respek ideologi gagas ganjar pranowo dapat,neutral
menit berapa ganjar omong ideologi,negative
ganjartp lihat mau prabowo kayak,neutral
kpk bemamfaat korupsi prabowo jksby aman hinga,positive
omong kosong indonesia negara indonesia negara makmur dunia,negative
anies gurau duwitapa gurau beli hati rakyat indonesiaaku yakinsekaya apapungak kuasa hati makluk hidup,positive
iya allooh jujur merinding lantun lagu indonesia raya stanzaisinya bagus,positive
bicara orang tau indonesia butuh lapang kerja kait maju jlasin butuh mah buktinyata rencana terap kosong krupsi krupsi kosong rencanain maju indonesia percaya,positive
anies cocok presiden indonesia dukung anies,positive
inti pilih jujur tulus pintar otak atik implementasi,positive
arti pilih anies terimakasih saranny kakak,neutral
prabowo baik presiden semangat prabowo harga negeri,positive
gagasangagasan calon wakil butuh rakyat pandjibra,neutral
calon presiden berani tegak hukum koruptor hukum mati,negative
pecah gagas panji baik comika,positive
betapa bodoh ganjar menit segitu nana kasih nyata blas sambung senyum jelasin keliatang dungu bilang kaget erti bilang bantai pastur dsb agama tertawa pakai nalar,negative
acara referensi tentu pilih pihak cerdas anies visi misi program kerja struktur logis mudah paham tahap ide narasi argumentasi implementasi mekanisme evaluasi anies maju,neutral
hdyucfw heiss tukang komentar ra cerdas blas,positive
lu korupsi muka bumi lenyap masyarakat sejahtera negara maju bijak salur nama korupsi bijak korupsi bijak jalan negara rugi bijak bangun korupsi sia sia,negative
