;text;label
31;kasih data masyarakat takut dapat ganjar indonesia nilai bebas dapat konsisten keras kepala;neutral
32;dengar suara prabowo karno wibawa;positive
33;iya lihat ganjar muka sinis enak;negative
34;ganjar jokowi partai demokrasi indonesia baca iya atur nenek lampir prabowo ngrbol pakai baca;neutral
35;woooooy sahrul gunawan tayang adzan;neutral
36;tunggu kakak calon presiden bicara gagas;neutral
37;ganjar main jawab harap dukung pakde boongin pakde anak;neutral
38;anies gagas cerdas struktur besok pilih lupa nggalah laporpak bilang lupa dijanjiin;neutral
39;beda jakarta buka terus program ahok rusak jalan mulus dilobangi awat;negative
40;malu prabowo sambut anak sdbremang cocok prabowo sifat anak sd;positive
41;paslon prabowo suruh patuh kakak nana layak pimpin atur partai usung juang rakyat;neutral
42;demokrasi riang gembira nikmat demokrasi baik;positive
43;mantap jelas prabowo realistis lapang;positive
44;ngilu dengar najwa bilang adek adek;negative
45;tolong ayo pilih calon presiden sesuai kerja bicara manis langsung percaya mohon mohon mohon warga cerdas gampang makan omong manis butuh bukti janji;negative
46;anies tong kosongomongan manis aspartame;negative
47;universitas gajah mada berani buka dokumen dekan fakultas hutan sd sungguh ijazah jokowi;neutral
48;indonesia merdekabrtetapi laku elite politik intervensi kpkbrini elite politik jujur;neutral
49;elite politik aman kuasa brmaka kpk kerdil daya pegawai sedot dana fungsi kerdil cawe kuasa cenderung intervensi;neutral
50;salah orba tni jabat jabat lembaga jabat guburnurbupati walikotabrsekarang inilembaga polisi amanah jabat luar institusi kepolisianbrapakah uu langgar mari cek uu laku;neutral
51;tolong anies pilih bebas izin buat sim gratis orang sim orang lulus tes mahir berkenderaan laku umur hidup kecuali salah berat lintas sim cabut;neutral
52;elite politik kuasa watak feodalbrsuapaya rakyat paham jelas aniesbrya allah menang anies kuasa;positive
53;watak elite kuasa watak pancasila watak arah kiri paham kiribrinfomasi anies dijadikanbrpembuatan uu usaha apa bantu caprescawapres buat uu benarbrnetral piha rezim kuasa ber cawe enak jidat negara satu republik indonesia milik;negative
54;rawan rawat gubernur jawa tengah turun masyarakat miskin detaksi keluh lapor masuk gubernur jawa tengah ide big boz tuju ide;neutral
55;ganjar rawan rawan gubernur jatengsaya tau sepak terjang ganjar pranowo peduli nyinyir orang;neutral
56;calon hokage brkonohamaru ganjarbrsasuke prabowobrshikamaru aniesbrbrkonohamaru percaya naruto brsasuke bertuga aman bawah pimpin naruto brshikamaru ahli teori strategi lemah banyak;positive
57;adu gagas anies hebat bukti;positive
58;ah ganjar omong kosong ajajd gubernur umr kecil;negative
59;mohon maaf pilih pip aneh;negative
60;ngetes uji kemam tka ganjar perintah indonesia congkak sombong milik ganjar;neutral
61;anies kerenbrpak ganjar bagusbrpak prabowo tulus;positive
62;solusi korupsi naik gaji jabat korupsi orang orang miskin bagus miskin malu;negative
63;lemah ganjar kadang suka ceplos;neutral
64;sandwich generation brjawaban anies bikin sedih sedih brternyata rubah pikir brsemuanya berat jalan sepenuh hati ikhlas takdir brsemoga pribadi kemudi amin;positive
65;asli berkacakaca dengar refleksi anies;neutral
66;anies pulang oke bukti narasi struktur tinggal kerja bukti seman;neutral
67;dengar pidato prabowo soekarno benarbenar bakar semangat mentalitas;positive
68;jadi anies ahok pilihno ganjar mahfud netrat maju indonesia emas;neutral
69;kakak nana depa calon presiden cawapresnya diskusi pesantren bareng ulama santri;neutral
70;inopasi jkarta terus pkerjaan rudi;neutral
71;tahu mateng hasil karbitan mateng pohon;neutral
72;ganjar ngenyek tenaga kerja indonesia lapang tka cina unskil;neutral
73;anies rumah uang muka benarbenar wujud rumah uang muka benarbenar gagas wacana salah presiden;negative
74;universitas gajah mada dukung ganjar pranowo naik elektabilitas universitas gajah mada kampus presiden;neutral
75;prabowo omong menang benarbenar menang rindu sosok pimpin;positive
76;negeri butuh orang pintar omong doang rakyat tipu jabat pintar omong butuh pimpin tulus rakyat jujur langka orang jujur korupsi;negative
77;omong jakarta parah pimpin hancur;negative
78;kelak indonesia moga indonesia seruduk partai demokrasi indonesia;neutral
79;lihat mata najwa muncul anies muntah;neutral
80;anies pintar omong prabowo gibran pintar ayom masyarakat;negative
81;omong doang pintar nyata aniss;negative
82;prabowo kaku pakai meja pidato;neutral
83;politik uang berantas penuh penjara calon anggota dewan;neutral
84;prabowo pilih legislatif pilih kepala desa pakai uang;neutral
85;anies pintar omong lemah eksekusibrprabowo semangat temperamenbrganjar ide rajin turun rakyat;negative
86;tiga capresbrcuman anies cerdas hebatbrbuktinya terbuktibrmeskipun buser televisi nasional mengudarabranies bukti potong pandemibrbanyak laku aniesbrganjar media sosial marah sok merakyatbrprabowo apabrdia pengusahabryang nama usaha mana cari profit;positive
87;ganjar provokator realistis nilai anies;neutral
88;simpati anies survey bukti anies pandai rangkai anies pecat menteri didik gubernur lebih bayar percaya pasti negeri selesai rangkai;neutral
89;komentator anies username ekor angka tau;neutral
90;anies baswedan presiden indonesia amin;neutral
91;amin dukung uud ite dirubahbrklo rubah jlan tempat demogrisi bryng demo grasi;neutral
93;gibran anak muda kasih contoh buruk;negative
94;omong orang tua wujud dunia pimpin negara indonesia kaya alam indonesia kelola negara negara gantung indonesia indonesia sadar jiwa pimpin niat kelola kaya indonesia dalam prabowo beliau berani ambil putus;positive
95;indonesia induk umat manusiabrmerah putih merah berani putih suci berani sucibrani bersih beda calon presiden nego ketua umum partai;negative
96;ganjar sudut serang fair anies prabowo ruang gagas sesuai ganjar adzan anies tidak tanya politik identitas prabowo nazwa sihab berat belah;neutral
97;ganjar anies gagas sampai solusi bingung pilih;negative
98;praktek sila pancasila negara satu republik indonesia prabowo subianto coba uji sila;neutral
99;menit insya allah selesai kakak nana filsafat mantik abdi negara satu republik indonesia merdeka sila;neutral
100;menit prabowo subianto cinta negara satu republik indonesia;neutral
101;assalamualaikum kakak nana iqbal zul aqli aceh barat debat calon presiden;neutral
102;dungu komentar bayar komentar hina parah oi dungubrbrakal sehat tambah tua tambah bodoh;negative
103;kakak wawancara special pasang prabowo giber brkan pasang branis imin sudahbrganjar mafud sudahbrkamu dengar kakak bantu banding calon baik mohon perhati;neutral
104;inti bukti bakti ucapannyasdkit bicara bekerjabr jokowibrinti pimpin itubrkrna kurang wajar bina negara mudah bolak balik tangan;negative
105;esemka dolar bawah puluh ribu hutang negeri negara denda akibat lalai bayar sewa satelit koruptor bansos rang vonis koruptor derita dibully publik;neutral
106;jujur haru segmen refleksi prabowo tulus cinta negara banding calon presiden kayak beliau kuat politik setir partai;positive
107;sesuai anies kasih nilai brpak prabowo kasih nilai brpak ganjar kasih nilai;neutral
108;presiden harap maju didik indonesia jokowi gelontor triliun kuliah anakanak miskin;neutral
109;moga anak kelak masuk universitas gajah mada prestasi bakal calon presiden;neutral
110;cita cita lihat prabowo presiden;neutral
111;calon presiden calon presiden berani ambil sikap wilayah laut indonesia laut natuna terobos china;neutral
112;sesi serasa dengar khutbah sholat jumat;neutral
113;prabowo subianto bukti nyata kata jawa tengah prabowo subianto presiden;neutral
114;sayang merinding lihat perabowo bibawa;positive
115;ganjar probowo milik ide gagas realitas banding calon satu putus tang;neutral
116;lawan nyata dinasti presiden jokowi anies baswedanbrkarena menganalisa prabowo ganjar pranowo presiden jokowi andil dalam kecuali anies baswedan;neutral
117;anies bagus selesai permalasahan diajukanbrkalau ganjar cerita kosong titik tau pilih;positive
118;capresnya moga amanah adil orang mbak najwa sihab butuh negara berani kritik jabat perintah;positive
119;suka main case religionbrhati hati;positive
120;insya allah prabowo menang orang pulang tulus negara satu republik indonesia;positive
121;anies top mantap salam ubah;positive
122;nilai cocok arb cocok presiden;positive
123;pilih presiden nasionalis mentingin penting indonesia urus perang negara;neutral
124;nilai sentimenbrbicara katabritu banjir macet jakarta mudah atas presiden hutang negeri esemkabrbrapa masuk omong kosong;negative
125;apresiasi program makan siang gratis anak sekolah aman kualitas bonus demografi indonesia emas catat menu makan sungguh kualitas melubatkan ahli gizi;positive
126;dengar anies omong mualingat janji dkiprogram oke ocediberimodaldilatihdicarikan pasarnydi cari pembelinynytanya;negative
127;bicara janji janji banjir macet jakarta mudah atas presiden esemka hutang negeribrbrkemudian bahas janji uang muka persen guna komentarlu;neutral
128;anies contoh contoh contoh entar contoh lagipas mejabat kerjain contoh;neutral
129;mudah betul gagas persen boongan;negative
130;ide bikin kotak suara iya;neutral
131;bismillah mantap pilih ganjar indonesia beliau masuk akal sentuh hati orang;positive
132;lihat brsiapa duduk kursi indonesia brbrga sabar ainkk lihat debat;neutral
133;tenang ganjar balik partai demokrasi indonesia percaya refleksi dukung;neutral
134;mudah omong kamera omong tahu gampang bohong publik upss;negative
135;bagus prabowo ganti jokowi pilih jokowi presidenbr ekspetasitp cita ngegampangin ucap realistis;positive
136;calon presiden sudahbrkapan wakil presidennyabrbiar lihatmana pintar calon presiden;neutral
137;komentar pilih anies smwbrsemoga doa kabul tuhan beliau presiden;neutral
138;akun palsu angka belakang nama;negative
139;sesuai ganjar remeh jurnalis pandu acara menit;neutral
140;halah pidatodebat omong kosong rakyat hilang optimisme nasib hidup tanah pertiwi;negative
141;dengar gagas bakal calon presiden terima kasih mata najwa acara terima kasih universitas gajah mada sarana sampai gagas bakal calon presiden;neutral
142;berat ringan asa jalan sepenuh hati ringan cari peluang sempat ulet;positive
143;calon presiden suruh refleksi prabowo subianto ngeyel situ paham beliau type orang atur harga bangsa rendah;negative
144;nilai cerdas pandai bicara aura tiga bakal calon presiden cinta rakyat tulus bantu ikhlas sabar angkuh dendam keras makmur maju bangsa prabowo;positive
145;moga pimpin indonesia jujur tidur;neutral
146;anies maksud indonesia jelasin yad negara presiden cerita anime jepang naruto tidak bebas dapat hadehbrgagal paham iya wkkk;negative
147;tonton sesikompplit nyatapi baterai mendenons strasi cassada kala tau bebet bobot jadi pimpin;negative
148;segitu jegal anies bantu anies langsung periksa pakai alat negara;neutral
149;prabowo speech ngertitapi keren materi berat;positive
150;mudahn bangsa sadar betapa hebat partai partai demokrasi indonesia kandidat;positive
151;video enam jam tonton juta;neutral
152;lapang kerja anies orang pecel lele asih lowong gaji kuliah modal kuliah kerja warung pecel lele gaji kakak anies masuk akal omong;positive
153;dukung prabowo tonton video dapat prabowo tulus sikap interaksi teman universitas gajah mada;neutral
154;patok kelamaanbrlebih cepat baikbrkalo lagibrkalo;positive
155;gaji guru swasta tekan dinaikin;neutral
156;sumpah siganjar sambung pusing iya bos;negative
157;bawa asa presiden bawa asa kritik bawa asa sadis;negative
158;niat ganti tka ganti wninawarin situ buka loker wni bsjyak gara sanggup;neutral
159;banyak omong bohong bicara gampang setir partai demokrasi indonesia bukti usaha masuk beli;negative
160;presiden usung partai presiden prabowo partai atur;neutral
161;musik sesuai calon presiden jalan stage kek tanding smackdown;neutral
162;hebat teori brkami butuh bukti aktual eksekusi fakta bos;positive
163;tonton fokus publik bicara presentasi skripsi nervousnya ampun diinterview kakak nana woyyyy;negative
164;yang hormat kakak najwasuara kaltimmohon bahas program ikn diwujudkanproject development nyala track;neutral
165;putra baik kalimantan timur ptomosikan pimpin nasionalsaya bobot walikota solo;positive
166;indonesia butuh orang pintar indonesia butuh pimpin jujur berani sekian trimakasih;neutral
167;butuh orang pintar yakali pimpin orang bodoh;negative
168;tiga calon presiden oke anies baswedan insya allah sholeh beril amanahsecara fisik presiden;neutral
169;insya allah anies presiden keluarga mabuk jabat harto anak usaha;neutral
170;dukung prabowo lihat wakil gibran arah golput satu calon presiden cocok;neutral
171;golput kakak coblos smuanya takut golput suara ambil orang tanggung;negative
172;kalo prabowo masuk presiden indonesia aman perang;negative
173;presiden moga janji manis moga bukti nyata moga indonesia junjung bhineka tunggal ika;positive
174;maaf anies coba omong kota kota diam desa dikotadan bahasa coba pakai bahasa mudah paham orang awam;negative
175;aduh anies janji gubernur jakarta janji uang muka persen tambah bagus dkimalah acakbikin resap jebak bedmendan;negative
176;bacot uang muka problem uang muka wujud uang muka program jokowi rumah subsidi beda uang muka subsidi uang muka;neutral
177;prabowo menang seduh seduh pindah anies belummasuk calon presiden pilih saudara saudara pilih anies kecuali papa pilih prabowo dok prabowo presiden;neutral
178;presiden berhrpbrantas premanismekoruptorbegalklitih dijalansupaya negeri aman;negative
179;mudah milu acara biar tau presiden wakil presiden pilih pilih anies baswedan muhaimin iskandar;neutral
180;anies anies prabowo orang presiden dedikasi sepenuh kembang bangsa indonesia;positive
181;tertawa dijakarta anak sekolah kasih makan gratis aniesanak kuliah keluarga tengah beasiswa juta pertahunlansia kasih gaji ribu perbulanbanyak;neutral
182;mental health didik kualitas masyarakat indonesia bahas aniesbrbrbedanya mental health cabang didik upokoknya;neutral
183;tonton jutaa orang tentu menang youtobe handphone televisi radio dsb butuh indonesia bijak nyata brtak gimic teori gagas implementasi;neutral
184;lupa teman teman manis debat mudah erti mudah implementasi pilih sesuai nurani;positive
185;pilih luput korps kakak najwa;neutral
186;dengar refleksi tiga bakal calon presiden benarbenar tulus bangun indonesia maju amat lihat kurang dimasyarakatdan landas batas materi batas janji moga pilih pimpin bangun indonesia maju;positive
187;prabowo pimpin ideal indonesia dek jokowi;positive
188;antusias kagum sosok prabowo tda putus asah juang hak rakyat ekonomi moga sosok prabowo berani juang rakyat indonesia bicara hati nurani rasa indonesia amin;positive
189;kriteria pimpin hablum mal terjagabr hablum minannaas aman baikbr beradabbr leadership terujibr negarawan diplomatis plonga plongobr sehat usia produktifbr amanah fathonah siddiq;positive
190;pilih anies surya paloh pilih ganjarmegawati cari memng modal calon presiden;neutral
191;aniesbahas mudah biaya perban informal mikro mudah cipta lapang pekerjaanniatnya bagus uang muka rumahnyatanya warga jakarta sana susahgw hawatir indonesian gagal negara maju modal janji politik;negative
192;dukung ganjarrichard gere indonesiamana suaranyaaaa;positive
193;lapang kerja mata anies grup orange pecatin gombal omong doang;negative
194;anies presiden brpemimpin pintar prestasi bijak menjawabbrjangan sempat sia sia jadi orang pintar akhlak karisma pimpin bangsa;positive
195;ganjar partai priksa partai demokrasi indonesia takut marah;neutral
196;boneka baik rakyat indifidu keluarga sah;positive
197;terbang bebas luas luas kibar sayap kebhinekaan lebar lebar lupa pangku pertiwi;positive
198;turis swadaya hormat turun khrish napoleon unjung jemur pantai panas bikin kulit warna sawo matang kematengan;positive
199;buah manis salah sawo matang;positive
200;infrastruktur manfaat rasa baik suatu pingit rantau;positive
201;gedor lawang penuh kejut coba senang;negative
202;berontak intai salah hukum yahbrkasihan dosa korban;negative
203;polisi bersabdaaset dunia lindung kueht apikbrgudu digoleti bae kesalahane;neutral
204;lupa mancing biar ikan nyabukan asap ngat fatsal senang;positive
205;wangi kembang eka surga kue putu cendana hidup alambrmangan kantil biar ngeremed ramedhon;positive
206;maju kembang bunga harum semerbak bukti tasbih allah azza wajallabrkalo harum;positive
207;uang habis jalan comot tuyul ndas ireng ndean;negative
208;guru kuliah ijasahnya suruh buang suruh aji waliyulqutub ngajingaca jiwa;negative
209;sumber daya manusia kembang kwalitas sumber daya manusia arti maksud;neutral
210;mahasiswa mahasiswa keliru kikilbrjangan lupa suguhin kopi enak tonton;negative
211;kasih tau rubah lirik nyabiar sang hadramaut ngedeus kelapa muatbrmacam biar macan tau satwa margasatwa;neutral
212;lagu bangsa indonesia raya sakraljika ubah ubah lirik ejek injek negeri susup dan;neutral
213;lirik ubah sihjangan macamstartastarta apankembalikan lirik asli;negative
214;wkwkk zaman jakarta banjir kakak zaman anies banjir kurang drastis;negative
215;zaman anies banjir jakarta antri;neutral
216;butuh bukti janji omong kosong lihat kerja bicara gampang bua hancur;negative
217;gagas manfaatnyabrtetap kalah prabowo mgibran cukupbrbrmgibran segalanyabralgojo paman brmentor ulung bppresidenbrsemua bukti kado indah sang keponakan;positive
218;pilih prabowo wajib prabowoall prabowo;neutral
219;tunggu tanggal main save prabowo gibran;neutral
220;presiden inti bijaksana masyarakat tindas korupsi rajalela negeri brbrbrsemangatt;positive
221;gilir anies enak nyontek fair;positive
222;almarhum gusdur pernh saksi orang tulus negara indonesia prabowo bukti tulus yabg henti juang semangat juang;positive
223;prabowo niat tulus negara indonesia pantang serah maju tugas negara;positive
224;iya sibuk kerja naik bbm pupuk sembako biaya sekolah dsb putus politik jabat wewenang tinggi;negative
225;iya indonesia rakyat buta inflasi tau uang dulunya nominal uang segitu serasa pecahin hilang iya tau iya hidup keluarga hebat management uang biaya keluarga tengah bawah press kakak hari;positive
226;golput surat suara salah pilih coblos;neutral
227;calon presiden kagum anies beliau santun bijak gagas masuk akal moga anis menang presiden amin;positive
228;teman saudara iya omong jelasbelibet emosimbulet terstrukturgesture sila memilihsaya nama;negative
229;acara manfaat alangkah baik dasar data gagas contoh mengunakan data apbn contoh;neutral
230;masyarakat luas tau visi misi resmi lengkap calon mana iya kakak;neutral
231;bismillah ganjar mahfud md menang putar;neutral
232;gaji jabat naik jamin korupsi orang korupsi orang serakah banyaksedikit gaji orang jujur amanah korupsi;negative
233;anies ganjar kocak tertawa prabowo salam akal sehat;neutral
234;pilih ahok pilih ganjarmahfud indonesia maju;negative
235;brujian sungguh ganjar gelintir manusia indonesia;negative
236;kolom komentar penuh komentar tugas partai;neutral
237;calon anies baswedan papar muantap;neutral
238;kesini gara lulus smk universitas nganggur lulus sd;negative
239;acara inibrnarasi basabasibrdemokrasi nasi basibrvisi misi oligarkibrpancasila tinggal seloganbryg tonton hanyalahbrkebodohan;negative
240;capresnya tuntas kemiskinanpengganguran ekonomi sejahtera sosial berantas mafia mafia;negative
241;diskusi ganjar sesak iya kakak najwa dapat iya;neutral
242;prabowo tulus fokus negara cinta indonesia;positive
243;dapat indonesia kali butuh pimpin jujur tulus berani;positive
244;mimpi doa moga tiga calon;neutral
245;buzzer sampah pakai akun sampah;negative
246;megawati bawa calon anggota kalah aniestohh belibet omong nyagenjer bowoluhut luhut;negative
247;ganjar bagus sopandan peduli rakyat dibandingkn anies nuomong hebatdki jakarta urus anies presiden atap rumah suruh cat warna warni;positive
248;golput milu tonton alhamdulilah segar pilih;positive
249;presiden anies wakil prabowo mantap langsung macan asia negara;neutral
250;refleksk prabowo merinding tetes air mata moga bangsa bangsa bangga maju kelak;positive
251;moga prabowo preside jiwa patriot nasional tertanamaamiin;neutral
252;presiden nntinya pengaruh konflik dipalestina insya allah anies tolong bantu sodara dipalestin moga anies presiden tahun;neutral
253;prabowo pandai bicara pidato insya allah beliau orang tulus ikhlas abdi negara satu republik indonesia menang moga depan indonesia maju salam negara satu republik indonesia;positive
254;tulus ambisi presiden rubah indoneisa maju makmur kuat;neutral
255;indonesia minyak bumi bagus premium minyak tanah hilang indonesia;positive
256;maaf lagu indonesia raya ganti teks;neutral
257;ganjar cerita usung jawab absurd jalan masalah sdng alami negara;neutral
258;pintar anies orang dosen kerja kosong;negative
259;bakal calon presiden orang orangorang hebat indonesia pecah pilih beda prabowo tulus berani tegas ganjar humblenya anies intelektual;positive
260;moga presiden indonesia sehat tulus jadi indonesia maju;positive
261;gagas anies mantap maasyaallah keren;positive
262;gagas gagas nyali eksekusi mimpi awangawang eksekutor handal dar mimpi rekam jejak pilih pimpin gagas kombinasi rekam jejak pilih umum presiden adu gagas adu gagas rekam jejak;neutral
263;kayaknny rekam jejak ketigany mending anies setidakny merasakn jaklingko angkot modern gratis rumah ganjar tahuny jawa umr miskin sei indonesia prabowo prestasiny beli pesawat ketinggaln singapore;positive
264;program makan anak indonesia berjalanbrbrada program makan sekolah anak orangtua makan rumah menu sehat sempurnabrjika depan program awas prabowo;neutral
265;urus retorika anies hebat implementasi mampu kolaborasi steak holder grup workingbrjadi bijaksana retorika belaka;positive
266;ganjar kayak salah omong sesuai omong background kakak najwa;negative
267;raih didik senang gagas anies investasi harga anak bangsa hebat pintar sejahtera;positive
268;pilih anies eh gjd wakil gitu;negative
269;ganjar mantap program tata sampai walaupon kenal ganjar tki malaysia harap pakganjar presiden indonesia;neutral
270;gagas visi misi calon presiden fakta indonesia butuh kerja keras tulus indonesia maju;positive
271;gila coooyy adu gagas calon presiden kangen peristiwa milu;positive
272;pindah nyala jokowi fan beliau angkat tangan fan beliau;neutral
273;anies plih anies omong kosong wkkw;negative
274;presentasi bagus kerja rakyat pintar alam karakter riwayat keri pilih oke;positive
275;anies kerjany kakak tinggal mana jakarta bantu adan program jaklingko uang muka pondok kelapa coba cari berita anies imbang hater anies;neutral
276;menang anies omong cermin omong;positive
277;coba kampung sedia lapang kerja biar rantau klklkl;neutral
278;ganjar kuasa materi cocok pimpin negeri;neutral
279;armuh bikin seuatu udsh oreapre;positive
280;salut anies negara butuh presiden cerdas halbrjgn qek blongo omong pres negara;negative
281;universitas gajah madabrpunya hutang moril rakyat indonesia brbisa ijazah asli presiden indonesia alumni hutan ugmbrjika nama universitas gajah mada runtuh malu rektor;negative
282;pimpin sejahtera rakyatkapan rakyat sejahtera pinjam online legal ilegalberani agas tutup pinjam online secra nyata cekik rakyatganti pinjam online koperasi ramah rakyat;neutral
283;partai demokrasi indonesia mah coblos prestasi pimpin partai demokrasi indonesia nomor negara judi;neutral
284;iya tuhan moga anies menang;positive
285;ganjar bicara mengacakaca duluh dirinyabaru bicarabrthn becus pimpin jawa tidurhanya dongeng;neutral
286;tarik gagas anies erti ber ilmu;positive
287;bayar tol mahalsaya malas tol mahal;negative
288;rekomendasi kiki saputri stand afdollll;positive
289;jujur menang nenek moyang jajah suruh kerja paksa anak cucu budak negara jajah tolong cukupp pimpin rubah negeri indonesia biadab jajah;negative
290;presiden harap alusista negeri baik dunia banya tempur;neutral
291;pilih prabowo ganjar lanjut jokowi lihat nyata moga anies bawa ubah indonesia presiden;neutral
292;indonesia merdeka jajah budak bangsa diri kalah singapura;negative
293;saran calon presiden indonesia merdeka diri kaki budakantekboneka negara bangsa;neutral
294;golput its punya choice hidup negara diri kaki negara tek kontribusi;neutral
295;mohon maaf ganjarkarna bebas percaya aparat desa salah penting pribadicoba lihat pegawe kerja desa milik fasilitas mewah tra rakyat cekik lapar bantu perintah sembako mahaltdk seprti zaman suharto raskin bantu;negative
296;tolong gendut kelompok orang tra buruh cekik serba mahal;negative
297;sejahtera pilih anies pilih prabowo pasu orang orba ganjar pdip pilih anies;neutral
298;orang militer mah gaung suara mantap lucu jugakarena tawa sesuai tonton prabowo bicara brbrdiantara tiga bakal calon presiden anies rasyid baswedan tenang kalem bijaksana sikap komentar dllmantap;positive
299;berani nunjukin konfrontasi well enggak anies coba narasi otobiografi ganjar cari simpati selip nasihat orangtua prabowo lari tantang lempar bola panas engaging audience;neutral
300;bilang jadi beban bilang beban anies;negative
301;terima kasih mata najwa acara nilai pribadi sesi bacapresbr anies baswedan jawab sasar wibawa ice breaking berlebihanbr ganjar pranowo self centric jawab guyon kebanyakanbr prabowo berapiapi monoton;neutral
302;juang prabowo gagal goolmengenai gagasa calon jujur prabowo orgnyagass indonesia;negative
303;tunggu hadir prabowo ganjar bem universitas indonesia;neutral
304;pilih satu rakyat indonesia sabang merauke anies lai lengkap;neutral
305;lepas janji calon presiden manis semangat kasihan prabowo kali gajadi presiden lgmudahan tepat gagas bawa indonesia maju;negative
306;gagas utara bakal calon presiden fisik pilih anies baswedan kuat pimpin indonesia maju bismillah anies baswedan;neutral
307;indonesia jaya indnesia jaya merdeka maju negarakua aboutinvalidaa aboutinvalidaa aboutinvalida;positive
308;profesi pandu acara jurnalis apa cibir profesi mulia profesi alangkah baik cibir profesi mncari suara sisi cibir profesi pilih siie ogah;negative
309;moga pilih nilai negara lemah sisi pimpin negara keras rakyat tekan;negative
310;utama praktik langsung lapang teori;neutral
311;ganjar tameng angkat prabowo sejati tarung anies prabowo;neutral
312;tarik aniesbrgakda munafik grasa grusu main curangbrbrbrpokoke jos tenan anies;negative
313;maaf iya numpang brsaya prabowo iya coba ahy geser pasti ber laki laki sejati pakyg sifat nikung tikung selamat tinggal iya;negative
314;cari komen keritik banyak komen pilih bla bla bla gampang omong manis mah dengar ngantuk muter muter lihat komen aboutinvalidaa aboutinvalidaa aboutinvalida;negative
315;kaku penyampain masaladari cerdaslinca sampai kerja tidk bua hasil iya bungbanyak orang bilang prabowo lihat kerja prabowo menteri tahan lihat hasil hemm prabowo senggol;negative
316;asli anies jago omong masuk akal aslibrbrdari sekian calon presiden anies gagas bagusmoderenmasuk akal future;positive
317;kakak nana tolong bantu usut khasus sianida;neutral
318;moga pdi pdi moga pilih jujur amanah integritas cerdas berani berantass korupsi;neutral
319;saatx perubahankapan biar utang tumpuk luar standar;neutral
320;mohon calon presiden publik elekt propessional;neutral
321;mohon muncul gambar sesuai urut publik tonton gembira;neutral
322;jawabaann jelass logiss kompitable anies rasyid baswedan netizenn nilaai masingg capress majuu anies moga realisasi pemimpinn negeri indonesia;positive
323;pribadi nonton acara respek ideologi gagas ganjar pranowo dapat;neutral
324;menit berapa ganjar omong ideologi;negative
325;ganjartp lihat mau prabowo kayak;neutral
326;kpk bemamfaat korupsi prabowo jksby aman hinga;positive
327;omong kosong indonesia negara indonesia negara makmur dunia;negative
